zip,city,county,state
94019,Half Moon Bay,San Mateo,California
94044,Pacifica,San Mateo,California
99324,College Place,Walla Walla,Washington
06019,Collinsville,Hartford,Connecticut
80919,Colorado Springs,El Paso,Colorado
80903,Colorado Springs,El Paso,Colorado
38401,Columbia,Maury,Tennessee
65203,Columbia,Boone,Missouri
95310,Columbia,Tuolumne,California
68601,Columbus,Platte,Nebraska
66725,Columbus,Cherokee,Kansas
95932,Colusa,Colusa,California
76240,Collinsville,Cooke,Texas
97214,Portland,Multnomah,Oregon
38619,Como,Panola,Mississippi
06103,Hartford,Hartford,Connecticut
29526,Conway,Horry,South Carolina
72032,Conway,Faulkner,Arkansas
97420,Coos Bay,Coos,Oregon
52241,Coralville,Johnson,Iowa
97113,Cornelius,Washington,Oregon
78401,Corpus Christi,Nueces,Texas
81321,Cortez,Montezuma,Colorado
97330,Corvallis,Benton,Oregon
94931,cotati,Sonoma,California
66044,Lawrence,Douglas,Kansas
30117,Carrollton,Carroll,Georgia
54812,Barron,Barron,Wisconsin
44302,Akron,Summit,Ohio
44264,Peninsula,Summit,Ohio
44308,Akron,Summit,Ohio
44333,Akron,Summit,Ohio
06238,Coventry,Tolland,Connecticut
41011,Covington,Kenton,Kentucky
69130,Cozad,Dawson,Nebraska
70105,Wellington,Park,Wyoming
47933,Crawfordsville,Montgomery,Indiana
90008,Los Angeles,Los Angeles,California
70118,New Orleans,Orleans,Louisiana
70116,New Orleans,Orleans,Louisiana
43420,Fremont,Sandusky,Ohio
72396,Wynne,Cross,Arkansas
20912,Takoma Park,Montgomery,Maryland
60014,Crystal Lake,McHenry,Illinois
90232,Culver City,Los Angeles,California
46511,Culver,Marshall,Indiana
42717,Burkesville,Cumberland,Kentucky
46229,Cumberland,Marion,Indiana
44222,Cuyahoga Falls,Summit,Ohio
71742,Fordyce,Dallas,Arkansas
06810,Danbury,Fairfield,Connecticut
53530,Darlington,Lafayette,Wisconsin
52804,Davenport,Scott,Iowa
68632,David City,Butler,Nebraska
56232,Dawson,Lac qui Parle,Minnesota
84009,South Jordan,Salt Lake,Utah
63020,DeSoto,Jefferson,Missouri
48124,Dearborn,Wayne,Michigan
30030,Decatur,DeKalb,Georgia
52101,Decorah,Winneshiek,Iowa
53532,DeForest,Dane,Wisconsin
60115,DeKalb,DeKalb,Illinois
93940,Monterey,Monterey,California
67213,Wichita,Sedgwick,Kansas
70528,Delcambre,Iberia,Louisiana
12054,Delmar,Albany,New York
33444,Delray Beach,Palm Beach,Florida
98106,Seattle,King,Washington
76201,Denton,Denton,Texas
98198,Des Moines,King,Washington
48130,Dexter,Washtenaw,Michigan
19148,Philadelphia,Philadelphia,Pennsylvania
47018,Dillsboro,Dearborn,Indiana
17019,Dillsburg,York,Pennsylvania
48821,Dimondale,Eaton,Michigan
31023,Eastman,Dodge,Georgia
53533,Dodgeville,Iowa,Wisconsin
81324,Dove Creek,Dolores,Colorado
83615,donnelly,Valley,Idaho
02122,Dorchester,Suffolk,Massachusetts
23231,Henrico,Henrico,Virginia
53118,Dousman,Waukesha,Wisconsin
03820,Dover,Rockingham,New Hampshire
10011,New York,New York,New York
11366,Queens,Queens,New York
10538,Larchmont,Westchester,New York
10543,Mamaroneck,Westchester,New York
11222,Brooklyn,Kings,New York
10026,Manhattan,New York,New York
10804,New Rochelle,Westchester,New York
10562,Ossining,Westchester,New York
11215,Park Slope,Kings,New York
11355,Queens,Queens,New York
10580,Rye,Westchester,New York
19335,Downingtown,Chester,Pennsylvania
32615,Alachua,Alachua,Florida
48101,Allen Park,Wayne,Michigan
53511,Beloit,Rock,Wisconsin
94704,Berkeley,Alameda,California
61701,Bloomington,McLean,Illinois
75103,Canton,Van Zandt,Texas
95928,Chico,Butte,California
75020,Denison,Grayson,Texas
60120,Elgin,Kane,Illinois
60201,Evanston,Cook,Illinois
47708,"Evansville,IN",Vanderburgh,Indiana
42071,Murray,Calloway,Kentucky
29720,Lancaster,Lancaster,South Carolina
42071-0002,Murray,Calloway,Kentucky
34950,Fort Pierce,St. Lucie,Florida
54935,Fond du Lac,Fond du Lac,Wisconsin
54301,"Green Bay, WI",Brown,Wisconsin
47025,Lawrenceburg,Dearborn,Indiana
45801,Lima,Allen,Ohio
39110,Madison,Madison,Mississippi
49855,Marquette,Marquette,Michigan
72112,Newport,Jackson,Arkansas
94947,Novato,Marin,California
94301,Palo Alto,Santa Clara,California
85004,Phoenix,Maricopa,Arizona
72756,ROGERS,Benton,Arkansas
98901,Yakima,Yakima,Washington
38225,Dresden,Weakley,Tennessee
21217,Baltimore,Baltimore City,Maryland
94568,Dublin,Alameda,California
52001,Dubuque,Dubuque,Iowa
55802,Duluth,St. Louis,Minnesota
81301,Durango,La Plata,Colorado
27701,Durham,Durham,North Carolina
98019,Duvall,King,Washington
89406,Fallon,Churchill,Nevada
68347,eagle,Cass,Nebraska
77346,Humble,Harris,Texas
30316,Atlanta,Fulton,Georgia
02128,East Boston,Suffolk,Massachusetts
77003,Houston,Harris,Texas
12061,East Greenbush,Rensselaer,New York
90028,Los Angeles,Los Angeles,California
000TN,Nashville,Davidson,Tennessee
07018,East Orange,Essex,New Jersey
94303,East Palo Alto,San Mateo,California
30344,East Point,Fulton,Georgia
14901,Elmira,Chemung,New York
98683,Vancouver,Clark,Washington
14221,Buffalo,Erie,New York
01027,Easthampton,Hampshire,Massachusetts
18042,Easton,Northampton,Pennsylvania
37915,Knoxville,Knox,Tennessee
02917,Smithfield,Providence,Rhode Island
90026,Los Angeles,Los Angeles,California
27932,Edenton,Chowan,North Carolina
98020,Edmonds,Snohomish,Washington
54209,Egg Harbor,Door,Wisconsin
92021,El cajon,San Diego,California
95762,El Dorado Hills,El Dorado,California
91731,El Monte,Los Angeles,California
50627,Eldora,Hardin,Iowa
78621,Elgin,Bastrop,Texas
46516,Elkhart,Elkhart,Indiana
06029,Ellington,Tolland,Connecticut
41171,Sandy Hook,Elliott,Kentucky
02465,West Newton,Middlesex,Massachusetts
18049,Emmaus,Lehigh,Pennsylvania
49630,Empire,Leelanau,Michigan
64801,Joplin,Newton,Missouri
91406,Van Nuys,Los Angeles,California
28715,Candler,Buncombe,North Carolina
75119,Ennis,Ellis,Texas
98022,Enumclaw,King,Washington
87532,Espanola,Rio Arriba,New Mexico
97023,Estacada,Clackamas,Oregon
96027,Etna,Siskiyou,California
72632,Eureka Springs,Carroll,Arkansas
49631,Evart,Osceola,Michigan
96706,Ewa Beach,Honolulu,Hawaii
05777,Fair Haven,Rutland,Vermont
94930,Fairfax,Marin,California
22030,Fairfax,Fairfax,Virginia
74343,Fairland,Ottawa,Oklahoma
99218,Spokane,Spokane,Washington
68522,Lincoln,Lancaster,Nebraska
57101,Sioux Falls,Minnehaha,South Dakota
46278,Indianapolis,Marion,Indiana
83605,Caldwell,Canyon,Idaho
12206,Albany,Albany,New York
88001,Las Cruces,Dona Ana,New Mexico
75234,Farmers Branch,Dallas,Texas
99669,Soldotna,Kenai Peninsula,Alaska
47932,Covington,Fountain,Indiana
60540,Naperville,DuPage,Illinois
40069,Springfield,Washington,Kentucky
46140,Greenfield,Hancock,Indiana
85252,Scottsdale,Maricopa,Arizona
29910,Bluffton,Beaufort,South Carolina
72736,Gravette,Benton,Arkansas
47250,Madison,Jefferson,Indiana
65804,Springfield,Greene,Missouri
84401,Ogden,Weber,Utah
77494,Katy,Harris,Texas
42743,Greensburg,Green,Kentucky
42728,Columbia,Adair,Kentucky
77459,Missorui City,Fort Bend,Texas
17013,Carlisle,Cumberland,Pennsylvania
43952,Steubenville,Jefferson,Ohio
96727,Kamuela,Hawaii,Hawaii
43160,Washington Court House,Fayette,Ohio
47331,Connersville,Fayette,Indiana
27312,Fearrington Village,Chatham,North Carolina
95018,Felton,Santa Cruz,California
63135,Ferguson,St. Louis,Missouri
72223,Little Rock,Pulaski,Arkansas
89408,Fernley,Lyon,Nevada
94111,San Francisco,San Francisco,California
12043,Cobleskill,Schoharie,New York
45231,Cincinnati,Hamilton,Ohio
44882,Sycamore,Wyandot,Ohio
70501,Lafayette,Lafayette,Louisiana
67230,Wichita,Sedgwick,Kansas
54212,Fish Creek,Door,Wisconsin
02882,Narragansett,Washington,Rhode Island
41041,Flemingsburg,Fleming,Kentucky
41653,Prestonsburg,Floyd,Kentucky
47119,floyds knobs,Floyd,Indiana
53206,Milwaukee,Milwaukee,Wisconsin
82601,Casper,Natrona,Wyoming
24551,Forest,Bedford,Virginia
97116,Forest Grove,Washington,Oregon
15221,Wilkinsburg,Allegheny,Pennsylvania
22911,Charlottesville,Albemarle,Virginia
72901,Fort Smith,Sebastian,Arkansas
88119,Fort Sumner,De Baca,New Mexico
60020,Fox Lake,Lake,Illinois
48734,Frankenmuth,Saginaw,Michigan
40601,Frankfort,Franklin,Kentucky
46131,Franklin,Johnson,Indiana
42134,Franklin,Simpson,Kentucky
47710,Evansville,Vanderburgh,Indiana
46044,Frankton,Madison,Indiana
30307,Atlanta,Fulton,Georgia
52801,Davenport,Scott,Iowa
78130,New Braunfels,Bexar,Texas
94509,Antioch,Contra Costa,California
20009,Washington,District of Columbia,District of Columbia
46802,FORT WAYNE,Allen,Indiana
77406,Fulshear,Fort Bend,Texas
46975,Rochester,Fulton,Indiana
10038,New York,New York,New York
49503,Grand Rapids,Kent,Michigan
27526,Fuquay-Varina,Wake,North Carolina
66739,Galena,Cherokee,Kansas
37066,Gallatin,Sumner,Tennessee
92503,Riverside,Riverside,California
67846,Garden City,Finney,Kansas
66030,Gardner,Johnson,Kansas
46225,Indianapolis,Marion,Indiana
60612,Chicago,Cook,Illinois
40444,Lancaster,Garrard,Kentucky
46933,Gas City,Grant,Indiana
71854,Texarkana,Miller,Arkansas
29440,Georgetown,Georgetown,South Carolina
77091,Houston,Houston,Texas
77020,Houston,Houston,Texas
77045,Houston,Houston,Texas
77011,Houston,Houston,Texas
77016,Houston,Houston,Texas
77074,Houston,Houston,Texas
77051,Houston,Houston,Texas
85234,Gilbert,Maricopa,Arizona
03237,Gilmanton,Belknap,New Hampshire
64118,Gladstone,Clay,Missouri
49636,Glen Arbor,Leelanau,Michigan
35905,GLENCOE,Etowah,Alabama
12801,Glens Falls,Warren,New York
60626,Chicago,Cook,Illinois
02818,Warwick,Kent,Rhode Island
75218,Dallas,Dallas,Texas
55027,Goodhue,Goodhue,Minnesota
83330,Gooding,Gooding,Idaho
19128,Philadelphia,Philadelphia,Pennsylvania
10924,Goshen,Orange,New York
72160,Stuttgart,Arkansas,Arkansas
55744,Grand Rapids,Itasca,Minnesota
24015,Roanoke,Roanoke City,Virginia
30315,Atlanta,Fulton,Georgia
10031,New York,New York,New York
01376,Turners Falls,Franklin,Massachusetts
15417,Brownsville,Washington,Pennsylvania
13601,Watertown,Jefferson,New York
80631,Greeley,Weld,Colorado
60614,Chicago,Cook,Illinois
60607,Chicago,Cook,Illinois
30309,Atlanta,Fulton,Georgia
56484,Walker,Cass,Minnesota
20770,Greenbelt,Prince George's,Maryland
22968,Ruckersville,Greene,Virginia
70053,Gretna,Jefferson,Louisiana
50112,Grinnell,Poweshiek,Iowa
96766,Lihue,Kauai,Hawaii
70802,baton rouge,East Baton Rouge,Louisiana
30815,Hephzibah,Richmond,Georgia
52052,Guttenberg,Clayton,Iowa
96701,Aiea,Honolulu,Hawaii
24558,Halifax,Halifax,Virginia
07302,Jersey City,Hudson,New Jersey
45011,Hamilton,Butler,Ohio
28310,Fayetteville,Cumberland,North Carolina
04444,Hampden,Penobscot,Maine
23505,Norfolk,Norfolk,Virginia
50441,Hampton,Franklin,Iowa
96713,Hana,Maui,Hawaii
96714,Hanalei,Kauai,Hawaii
45840,Findlay,Hancock,Ohio
17331,Hanover,York,Pennsylvania
44304,Akron,Summit,Ohio
44310,Akron,Summit,Ohio
46809,Fort Wayne,Allen,Indiana
76548,Harker Heights,Bell,Texas
78550,Harlingen,Cameron,Texas
48625,Harrison,Clare,Michigan
42765,Munfordville,Hart,Kentucky
57033,Hartford,Minnehaha,South Dakota
44240,Kent,Portage,Ohio
46163,New Palestine,Hancock,Indiana
43054,New Albany,Franklin,Ohio
22473,Heathsville,Northumberland,Virginia
84032,Heber City,Wasatch,Utah
90046,West Hollywood,Los Angeles,California
28739,Hendersonville,Henderson,North Carolina
56136,Hendricks,Lincoln,Minnesota
69001,McCook,Red Willow,Nebraska
40741,London,Laurel,Kentucky
91739,Rancho Cucamonga,San Bernardino,California
85938,Springerville,Apache,Arizona
38632,Hernando,DeSoto,Mississippi
20170,Herndon,Fairfax,Virginia
84096,Herriman,Salt Lake,Utah
37043,Clarksville,Montgomery,Tennessee
92395,Victorville,San Bernardino,California
27262,High Point,Guilford,North Carolina
32643,High Springs,Alachua,Florida
24465,Monterey,Highland,Virginia
80129,Highlands Ranch,Douglas,Colorado
50563,Manson,Calhoun,Iowa
63050,Hillsboro,Jefferson,Missouri
97124,Hillsboro,Washington,Oregon
97219,Portland,Multnomah,Oregon
31313,Hinesville,Liberty,Georgia
02043,Hingham,Plymouth,Massachusetts
60521,Hinsdale,DuPage,Illinois
71901,Hot Springs,Garland,Arkansas
48446,Lapeer,Lapeer,Michigan
47901,Lafayette,Tippecanoe,Indiana
19958,Lewes,Sussex,Delaware
28752,Marion,McDowell,North Carolina
47630,Newburgh,Warrick,Indiana
64040,Holden,Johnson,Missouri
16648,Hollidaysburg,Blair,Pennsylvania
48442,Holly,Oakland,Michigan
27540,Holly Springs,Wake,North Carolina
20653,Lexington Park,St. Mary's,Maryland
99603,Homer,Kenai Peninsula,Alaska
60430,Homewood,Cook,Illinois
97067,Welches,Clackamas,Oregon
02885,Warren,Bristol,Rhode Island
55343,Hopkins,Hennepin,Minnesota
42240,HOPKINSVILLE,Christian,Kentucky
01748,Hopkinton,Middlesex,Massachusetts
57747,Hot Springs,Fall River,South Dakota
29303,Spartanburg,Spartanburg,South Carolina
12534,Hudson,Columbia,New York
23236,Richmond,Chesterfield,Virginia
23235,Richmond,Chesterfield,Virginia
62901,Carbondale,Jackson,Illinois
08822,Flemington,Hunterdon,New Jersey
16652,Huntingdon,Huntingdon,Pennsylvania
60142,Huntley,McHenry,Illinois
78634,Hutto,Williamson,Texas
75693,Clarksville City,Gregg,Texas
20781,Hyattsville,Prince George's,Maryland
45208,Cincinnati,Hamilton,Ohio
51445,Ida Grove,Ida,Iowa
83402,Idaho Falls,Bonneville,Idaho
48444,Imlay City,Lapeer,Michigan
42064,Marion,Crittenden,Kentucky
50644,Independence,Buchanan,Iowa
64050,Independence,Jackson,Missouri
12842,INDIAN LAKE,Hamilton,New York
15701,Indiana,Indiana,Pennsylvania
48846,Ionia,Ionia,Michigan
50126,Iowa Falls,Hardin,Iowa
11212,"Brooklyn, NY",Kings,New York
98027,Issaquah,King,Washington
48847,Ithaca,Gratiot,Michigan
56142,Ivanhoe,Lincoln,Minnesota
82633,Douglas,Converse,Wyoming
63755,Jackson,Cape Girardeau,Missouri
54615,Black River Falls,Jackson,Wisconsin
40447,Mckee,Jackson,Kentucky
40486,Tyner,Jackson,Kentucky
28779,Sylva,Jackson,North Carolina
53037,Jackson,Washington,Wisconsin
53545,Janesville,Rock,Wisconsin
30143,Jasper,Pickens,Georgia
19107,Philadelphia,Philadelphia,Pennsylvania
40299,Jeffersontown,Jefferson,Kentucky
41240,Paintsville,Johnson,Kentucky
92252,Joshua Tree,San Bernardino,California
99801,Juneau,Juneau,Alaska
96734,Kailua,Honolulu,Hawaii
49001,Kalamazoo,Kalamazoo,Michigan
96819,Honolulu,Honolulu,Hawaii
96788,Kaneohe,Honolulu,Hawaii
96707,Kapolei,Honolulu,Hawaii
76248,Keller,Tarrant,Texas
53140,Kenosha,Kenosha,Wisconsin
20895,Kensington,Montgomery,Maryland
49512,Kentwood,Kent,Michigan
29020,Camden,Kershaw,South Carolina
27021,King,Stokes,North Carolina
22485,King George,King George,Virginia
12402,Kingston,Ulster,New York
22315,Alexandrida,Fairfax,Virginia
77339,Kingwood,Harris,Texas
63501,Kirksville,Adair,Missouri
87417,Kirtland,San Juan,New Mexico
03904,Kittery,York,Maine
63537,Edina,Knox,Missouri
40906,Barbourville,Knox,Kentucky
33928,Estero,Lee,Florida
19348,Kennett Square,Chester,Pennsylvania
00979,Carolina,Carolina,Puerto Rico
90035,Los Angele,Los Angeles,California
10460,Bronx,Bronx,New York
10457,Bronx,Bronx,New York
40031,La Grange,Oldham,Kentucky
20646,La Plata,Charles,Maryland
06883,Weston,Fairfield,Connecticut
71845,Lewisville,Lafayette,Arkansas
60010,Lake Barrington,Lake,Illinois
97034,Lake Oswego,Clackamas,Oregon
12946,Lake Placid,Essex,New York
56401,Brainerd,Crow Wing,Minnesota
56425,Baxter,Crow Wing,Minnesota
23228,henrico,Henrico,Virginia
44107,Lakewood,Cuyahoga,Ohio
14750,Lakewood,Chautauqua,New York
50140,Lamoni,Decatur,Iowa
61046,Lanark,Carroll,Illinois
43130,Lancaster,Fairfield,Ohio
82801,Sheridan,Sheridan,Wyoming
97401,Eugene,Lane,Oregon
19446,Lansdale,Montgomery,Pennsylvania
80521,Fort Collins,Larimer,Colorado
83871,"Troy, ID",Latah,Idaho
35803,Huntsville,Madison,Alabama
39440,Laurel,Jones,Mississippi
49064,Lawrence,Van Buren,Michigan
15201,Pittsburgh,Allegheny,Pennsylvania
62920,Cobden,Union,Illinois
46052,Lebanon,Boone,Indiana
06249,Lebanon,New London,Connecticut
78259,San Antonio,Bexar,Texas
33138,Miami,Miami-Dade,Florida
49654,Leland,Leelanau,Michigan
