season_number,season_date,season_time,market_fmid
47,3,01/11/2020 to 04/11/2020,Sat: 9:00 AM-2:00 PM;,1005944
48,1,05/01/2019 to 05/25/2019,Sat: 10:00 AM-2:00 PM;,1019647
49,2,06/01/2019 to 11/26/2019,Tue: 8:00 AM-1:00 PM;Thu: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;,1019647
50,3,11/30/2019 to 12/21/2019,Sat: 10:00 AM-2:00 PM;,1019647
51,1,05/02/2020 to 10/31/2020,Sat: 2:00 PM-5:00 PM;,1020084
52,1,06/10/2020 to 10/21/2020,Wed: 3:00 PM-7:00 PM;,1003516
53,1,06/19/2021 to 06/19/2021,Sat: 10:00 AM-2:00 PM;,1020060
54,1,05/02/2019 to ,Thu: 8:00 AM-12:00 PM;,1019484
55,1,05/26/2018 to 10/06/2018,Sat: 8:00 AM-12:00 PM;,1019096
56,1,06/01/2020 to 09/26/2020,Sat: 8:00 AM-12:00 PM;,1018934
57,1,06/19/2021 to 06/19/2021,Sat: 8:00 AM-12:30 PM;,1000431
58,2,11/06/2021 to 11/06/2021,Sat: 9:00 AM-12:30 PM;,1000431
59,1,05/19/2021 to 05/19/2021,Wed: 2:00 PM-6:00 PM;,1021359
60,1,07/11/2022 to 07/11/2022,Mon: 2:00 PM-6:00 PM;,1021733
61,1,05/07/2022 to 05/07/2022,Sat: 9:00 AM-12:00 PM;,1021732
62,1,06/21/2019 to 09/06/2019,Fri: 4:00 PM-7:00 PM;,1019662
63,1,06/11/2020 to 10/29/2020,Thu: 3:30 PM-7:00 PM;,1019904
64,1,05/05/2018 to 10/20/2018,Sat: 8:00 AM-12:00 PM;,1019222
65,1,01/01/2019 to 12/31/2019,Fri: 6:00 PM-9:00 PM;,1019495
66,1,01/01/2020 to 12/31/2020,Thu: 12:00 PM-5:00 PM;Fri: 12:00 PM-5:00 PM;Sat: 12:00 PM-5:00 PM;,1020068
67,1,06/12/2021 to 06/12/2021,Sat: 9:00 AM-1:00 PM;,1009810
68,1,05/08/2022 to 05/08/2022,Sun: 10:00 AM-3:00 PM;,1021627
69,1,05/01/2021 to 05/01/2021,Sat: 8:00 AM-1:00 PM;,1001245
70,2,06/01/2021 to 06/01/2021,Tue: 12:00 PM-5:30 PM;Sat: 7:00 AM-1:00 PM;,1001245
71,1,05/19/2018 to 10/27/2018,Wed: 2:30 PM-5:30 PM;Sat: 8:00 AM-12:00 PM;,1002984
72,1,01/01/2021 to 12/31/2021,Wed: 9:00 AM-12:00 PM;Sat: 9:00 AM-12:00 PM;,1005086
73,1,04/15/2020 to 11/18/2020,Wed: 4:00 PM-7:00 PM;,1018033
74,1,03/21/2020 to 12/19/2020,Sat: 8:00 AM-12:00 PM;,1018032
75,1,05/07/2021 to 05/07/2021,Fri: 2:00 PM-6:00 PM;,1021450
76,1,06/15/2019 to 10/19/2019,Sat: 9:00 AM-1:00 PM;,1018330
77,1,06/07/2020 to 09/20/2020,Sun: 10:00 AM-3:00 PM;,1019789
78,1,05/29/2021 to 05/29/2021,Sat: 10:00 AM-2:00 PM;,1021329
79,1,05/05/2018 to 10/31/2018,Mon: -12:00 PM;Wed: 8:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;,1000559
80,2,11/01/2018 to 05/03/2019,Sat: 9:00 AM-12:00 PM;,1000559
81,1,01/01/2021 to 01/01/2021,Sun: 12:00 PM-4:00 PM;,1021534
82,1,06/04/2019 to 08/27/2019,Tue: 4:00 PM-7:00 PM;,1019396
83,1,07/02/2018 to 08/27/2018,Mon: 4:00 PM-7:00 PM;,1019126
84,1,05/22/2021 to 05/22/2021,Sat: 9:00 AM-1:00 PM;,1021528
85,1,12/04/2021 to 12/04/2021,Sat: 1:00 PM-4:00 PM;,1021530
86,1,10/30/2021 to 10/30/2021,Sat: 1:00 PM-4:00 PM;,1021529
87,1,05/16/2018 to 10/10/2018,Wed: 4:00 PM-7:00 PM;,1019044
88,1,06/05/2020 to 10/01/2020,Sat: 9:00 AM-1:00 PM;,1019076
89,1,01/01/2021 to 01/01/2021,Sun: 9:00 AM-2:00 PM;,1021338
90,1,03/01/2021 to 03/01/2021,Sat: 10:00 AM-2:00 PM;,1021521
91,1,01/01/2021 to 01/01/2021,Sun: 11:00 AM-1:30 PM;,1012081
92,1,01/01/2021 to 01/01/2021,Sun: 12:00 PM-4:00 PM;,1021582
93,1,06/17/2021 to 06/17/2021,Thu: 10:00 AM-3:00 PM;,1001604
94,1,05/02/2020 to 11/21/2020,Sat: 8:30 AM-12:30 PM;,1020029
95,1,06/21/2020 to 09/27/2020,Sun: 10:00 AM-2:00 PM;,1003335
96,1,07/01/2020 to 09/30/2020,Sat: 8:00 AM-11:00 AM;,1019871
97,1,01/01/2021 to 01/01/2021,Sat: 10:00 AM-2:00 PM;,1000436
98,1,06/05/2021 to 06/05/2021,Sat: 8:00 AM-12:00 PM;,1021540
99,1,05/01/2021 to 05/01/2021,Sat: 8:00 AM-12:00 PM;,1021265
100,2,06/30/2021 to 06/30/2021,Wed: 3:00 PM-6:00 PM;,1021265
101,1,05/05/2021 to 05/05/2021,Wed: 9:00 AM-1:00 PM;Fri: 5:00 PM-8:00 PM;,1021443
102,1,01/01/2021 to 01/01/2021,Sun: 11:00 AM-3:00 PM;,1019617
103,1,06/01/2020 to 10/31/2020,Sat: 9:00 AM-12:00 PM;,1019874
104,1,01/01/2020 to 12/01/2020,Thu: 9:00 AM-4:00 PM;Fri: 9:00 AM-4:00 PM;,1020102
105,1,02/18/2017 to 12/16/2017,Sat: 8:00 AM-11:00 AM;,1018735
106,1,06/01/2020 to 09/30/2020,Sat: 8:30 AM-12:00 PM;,1019875
107,1,05/23/2020 to 10/31/2020,Sat: 8:00 AM-12:00 PM;,1020097
108,1,06/07/2022 to 06/07/2022,Tue: 4:00 PM-7:00 PM;,1021630
109,1,06/15/2021 to 06/15/2021,Tue: 3:00 PM-6:00 PM;,1019853
110,1,06/01/2019 to 10/26/2019,Sat: 9:00 AM-1:00 PM;,1019400
111,1,04/14/2018 to 11/17/2018,Sat: 7:00 AM-11:00 AM;,1010607
112,2,11/24/2018 to 12/22/2018,Sat: 10:00 AM-12:00 PM;,1010607
113,1,05/29/2021 to 05/29/2021,Sat: 8:00 AM-11:00 AM;,1011902
114,1,06/07/2021 to 06/07/2021,Mon: 4:00 PM-7:30 PM;,1021363
115,1,06/06/2018 to 08/29/2018,Wed: 3:00 PM-7:00 PM;,1008140
116,1,06/01/2021 to 06/01/2021,Thu: 11:00 AM-4:00 PM;,1002064
117,1,06/06/2019 to 09/26/2019,Thu: 4:00 PM-7:00 PM;,1011363
118,1,05/29/2021 to 05/29/2021,Sat: 9:00 AM-1:00 PM;,1001316
119,1,04/29/2021 to 04/29/2021,Thu: 4:00 PM-8:00 PM;,1001533
120,1,05/02/2018 to 09/26/2018,Wed: 4:00 PM-7:00 PM;,1018644
121,1,04/10/2021 to 04/10/2021,Sat: 7:30 AM-1:00 PM;,1021403
122,1,04/01/2018 to 12/09/2018,Sun: 10:00 AM-2:00 PM;,1005183
123,1,05/26/2018 to 10/31/2018,Sat: 8:00 AM-12:00 PM;,1019005
124,1,11/21/2021 to 11/21/2021,Sun: 10:00 AM-1:30 PM;,1021628
125,2,12/12/2021 to 12/12/2021,Sun: 10:00 AM-1:30 PM;,1021628
126,3,01/09/2022 to 01/09/2022,Sun: 10:00 AM-1:30 PM;,1021628
127,1,06/07/2018 to 09/27/2018,Thu: 4:00 PM-6:30 PM;,1019168
128,1,06/04/2018 to 09/24/2018,Mon: 11:00 AM-2:00 PM;,1019169
129,1,05/10/2020 to 10/11/2020,Sun: 9:00 AM-1:00 PM;,1019967
130,1,06/13/2021 to 06/13/2021,Sun: 8:00 AM-12:00 PM;,1021322
131,1,04/01/2020 to 12/31/2020,Sun: 9:00 AM-1:30 PM;,1010406
132,2,01/05/2020 to 03/29/2020,Sun: 9:30 AM-1:30 PM;,1010406
133,1,04/01/2021 to 04/01/2021,Thu: 10:00 AM-2:00 PM;,1012494
134,1,01/01/2020 to 12/31/2020,Sun: 9:00 AM-1:00 PM;,1020196
135,1,05/21/2020 to 10/29/2020,Thu: 4:00 PM-7:00 PM;,1019765
136,1,04/01/2018 to 09/25/2018,Tue: 8:30 AM-1:00 PM;,1005949
137,1,06/05/2019 to 09/25/2019,Wed: 3:00 PM-7:00 PM;,1019338
138,1,11/09/2018 to 04/12/2019,Fri: 3:00 PM-6:00 PM;,1019339
139,1,06/24/2019 to 10/07/2019,Mon: 3:00 PM-7:00 PM;,1019591
140,1,05/22/2021 to 05/22/2021,Sat: 9:00 AM-1:00 PM;,1021508
141,1,06/02/2018 to 10/20/2018,Sat: 10:00 AM-1:00 PM;,1011037
142,1,06/02/2018 to 10/27/2018,Sat: 10:00 AM-1:00 PM;,1012163
143,1,05/08/2021 to 05/08/2021,Sat: 9:00 AM-1:00 PM;,1011829
144,2,12/04/2021 to 12/04/2021,Sat: 11:00 AM-2:00 PM;,1011829
145,1,04/06/2019 to 09/28/2019,Sat: 8:00 AM-1:00 PM;,1018396
146,2,10/05/2019 to 11/30/2019,Sat: 9:00 AM-1:00 PM;,1018396
147,1,12/02/2017 to 12/02/2017,Sat: 9:00 AM-12:30 PM;,1018563
148,1,05/01/2020 to 10/17/2020,Tue: 2:00 PM-5:00 PM;Sat: 9:00 AM-2:00 PM;,1020098
149,1,05/04/2019 to 09/14/2019,Wed: 3:00 PM-6:00 PM;Sat: 9:00 AM-1:00 PM;,1019440
150,1,05/23/2020 to 11/28/2020,Sat: 9:00 AM-1:00 PM;,1018092
151,1,04/07/2018 to 10/27/2018,Sat: 9:00 AM-1:00 PM;,1018313
152,1,11/03/2018 to 12/22/2018,Sat: 9:00 AM-2:00 PM;,1018316
153,1,05/09/2020 to 10/31/2020,Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;Sun: 9:00 AM-5:00 PM;,1020101
154,1,06/06/2019 to 10/24/2019,Thu: 3:00 PM-6:00 PM;,1006833
155,1,04/06/2019 to 10/26/2019,Sat: 8:00 AM-12:00 PM;,1019318
156,1,05/01/2019 to 10/26/2019,Sat: 8:30 AM-12:30 PM;,1019693
157,1,07/08/2021 to 07/08/2021,Thu: 9:00 AM-2:00 PM;,1001526
158,2,07/07/2022 to 07/07/2022,Thu: 9:00 AM-2:00 PM;,1001526
159,3,07/06/2023 to 07/06/2023,Thu: 9:00 AM-2:00 PM;,1001526
160,1,05/20/2018 to 10/28/2018,Sun: 8:00 AM-12:00 PM;,1019165
161,1,06/04/2020 to 10/29/2020,Thu: 2:00 PM-6:00 PM;,1020096
162,1,06/06/2020 to 10/31/2020,Sat: 7:00 AM-2:00 PM;,1020099
163,1,01/01/2018 to ,Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;,1019205
164,1,01/01/2020 to 12/31/2020,Wed: 3:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;,1021248
165,1,11/01/2017 to 11/23/2019,Sat: 9:00 AM-1:00 PM;,1018227
166,2,02/02/2019 to 05/04/2019,Sat: 9:00 AM-1:00 PM;,1018227
167,1,05/04/2019 to 10/26/2019,Sat: 9:00 AM-2:00 PM;,1002407
168,1,11/03/2018 to 03/30/2019,Sat: 10:00 AM-2:00 PM;,1011075
169,1,05/20/2020 to 10/31/2020,Wed: 8:00 AM-2:00 PM;Sat: 8:00 AM-2:00 PM;,1020113
170,1,05/06/2021 to 05/06/2021,Thu: 4:00 PM-7:00 PM;,1018556
171,1,06/10/2018 to 10/21/2018,Sun: 11:00 AM-3:00 PM;,1019146
172,1,06/22/2019 to ,Sat: 4:00 PM-8:00 PM;,1018756
173,1,04/19/2014 to 10/27/2018,Sat: 9:00 AM-2:00 PM;,1005483
174,1,06/20/2020 to 10/31/2020,Sat: 8:00 AM-12:00 PM;,1019905
175,1,05/05/2018 to 09/01/2018,Sat: 8:00 AM-1:00 PM;,1019257
176,1,07/10/2020 to ,Fri: 10:00 AM-2:00 PM;,1019984
177,1,07/02/2020 to 08/27/2020,Thu: 3:00 PM-6:00 PM;,1019794
178,1,01/01/2019 to 12/31/2019,Wed: 10:00 AM-3:00 PM;Sat: 10:00 AM-3:00 PM;,1019527
179,1,06/04/2020 to 11/19/2020,Thu: 1:30 PM-6:30 PM;,1021210
180,1,01/01/2022 to 01/01/2022,Sat: 8:00 AM-1:00 PM;,1021736
181,1,01/01/2020 to 12/31/2020,Sun: 10:00 AM-3:00 PM;,1018891
182,1,06/04/2021 to 06/04/2021,Fri: 3:30 PM-6:30 PM;,1021515
183,1,01/01/2021 to 12/31/2021,Sat: 9:00 AM-1:00 PM;,1021262
184,1,09/01/2020 to 10/28/2020,Wed: 10:30 AM-1:30 PM;,1019906
185,1,06/04/2020 to 09/03/2020,Thu: 4:00 PM-7:00 PM;,1019727
186,1,06/01/2018 to 10/26/2018,Fri: 1:00 PM-5:00 PM;,1017968
187,1,05/05/2018 to 11/03/2018,Sat: 8:30 AM-12:30 PM;,1008607
188,1,01/01/2021 to 01/01/2021,Sat: 9:00 AM-1:00 PM;,1021311
189,1,05/05/2018 to 11/17/2018,Sat: 9:00 AM-1:00 PM;,1019218
190,1,05/16/2019 to 10/24/2019,Thu: 2:00 PM-5:00 PM;,1008953
191,2,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:30 PM;,1000843
192,1,04/13/2019 to 12/21/2019,Sat: 8:00 AM-12:00 PM;,1019492
193,1,07/08/2021 to 07/08/2021,Thu: 5:30 PM-7:00 PM;,1021524
194,1,06/06/2020 to 10/17/2020,Sat: 9:00 AM-1:00 PM;,1019965
195,1,06/04/2022 to 06/04/2022,Sat: 9:30 AM-12:30 PM;,1021728
196,1,05/26/2018 to 12/15/2018,Tue: 7:00 AM-12:00 PM;Thu: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;,1002567
197,1,05/23/2020 to 10/03/2020,Sat: 8:00 AM-1:00 PM;,1001362
198,1,08/01/2021 to 08/01/2021,Sun: 9:00 AM-1:00 PM;,1021238
199,1,07/12/2021 to 07/12/2021,Sat: 11:00 AM-3:00 PM;Sun: 1:00 PM-5:00 PM;,1021614
200,2,07/03/2022 to 07/03/2022,Sat: 10:00 AM-3:00 PM;Sun: 1:00 PM-5:00 PM;,1021614
201,1,04/01/2020 to ,Wed: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;,1020089
202,1,01/01/2018 to 12/31/2018,Fri: 9:00 AM-2:00 PM;,1004927
203,1,06/18/2020 to 10/29/2020,Thu: 4:00 PM-6:00 PM;,1019922
204,1,06/21/2020,Sun: 9:00 AM-1:00 PM;,1019978
205,1,11/07/2020 to 12/19/2020,Sat: 12:00 PM-1:00 PM;,1018263
206,1,06/04/2020 to 10/22/2020,Thu: 2:00 PM-6:00 PM;,1019980
207,1,01/05/2020 to 12/27/2020,Sun: 9:00 AM-1:00 PM;,1020188
208,1,04/21/2018 to ,Sat: 9:00 AM-1:00 PM;,1018459
209,1,01/01/2020 to 12/31/2020,Sat: 8:00 AM-12:00 PM;,1019997
210,1,01/01/2020 to 12/31/2020,Fri: 2:30 PM-5:30 PM;,1020160
211,1,05/06/2020 to 09/30/2020,Wed: 4:00 PM-8:00 PM;,1020183
212,1,01/01/2021 to 01/01/2021,Sat: 8:00 AM-12:00 PM;,1002674
213,1,05/11/2021 to 05/11/2021,Wed: 8:00 AM-12:00 PM;,1021575
214,1,05/22/2020 to 10/30/2020,Fri: 3:00 PM-6:00 PM;,1020117
215,1,05/19/2020 to 10/27/2020,Tue: 3:00 PM-6:00 PM;,1020118
216,1,05/23/2020 to 10/31/2020,Sat: 9:00 AM-12:00 PM;,1020119
217,1,01/05/2020 to 12/27/2020,Sun: 9:00 AM-1:00 PM;,1020184
218,1,01/01/2018 to 12/31/2018,Sat: 9:00 AM-12:00 PM;,1009034
219,1,05/01/2020 to 10/30/2020,Fri: 4:00 PM-7:00 PM;,1019810
220,2,06/02/2020 to 09/29/2020,Tue: 4:00 PM-7:00 PM;,1019810
221,1,01/01/2020 to 12/31/2020,Sat: 9:00 AM-2:00 PM;,1021202
222,1,01/01/2016 to 12/31/2016,Sat: 9:00 AM-1:30 PM;,1012038
223,1,05/10/2020 to 10/04/2020,Sun: 9:00 AM-1:00 PM;,1019772
224,1,06/12/2021 to 06/12/2021,Sat: 10:00 AM-1:00 PM;,1021435
225,1,01/01/2021 to 01/01/2021,Sat: 8:00 AM-1:00 PM;,1021294
226,1,05/07/2022 to 05/07/2022,Sun: 8:00 AM-12:00 PM;,1021655
227,1,06/15/2016 to 09/14/2016,Wed: 3:00 PM-6:00 PM;,1011930
228,1,05/19/2017 to 11/10/2017,Fri: 11:00 AM-3:00 PM;,1018359
229,1,05/01/2018 to 09/25/2018,Tue: 9:00 AM-1:00 PM;,1008450
230,1,05/07/2019 to 10/15/2019,Tue: 3:00 PM-7:00 PM;,1006651
231,1,01/01/2019 to 12/31/2019,Mon: 9:00 AM-6:00 PM;Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-4:00 PM;Sun: 1:30 PM-4:30 PM;,1019417
232,1,01/01/2021 to 01/01/2021,Sat: 9:00 AM-12:00 PM;,1021269
233,2,03/17/2021 to 03/17/2021,Wed: 3:00 PM-6:00 PM;Sat: 7:00 AM-12:00 PM;,1021269
234,3,11/06/2021 to 11/06/2021,Sat: 9:00 AM-12:00 PM;,1021269
235,1,05/01/2020 to 09/30/2020,Fri: 8:00 AM-12:00 PM;,1008322
236,1,06/05/2021 to 06/05/2021,Sat: 8:30 AM-1:00 PM;,1021213
237,1,07/04/2020 to 10/03/2020,Sat: 9:00 AM-12:00 PM;,1020071
238,1,07/11/2020 to 10/10/2020,Mon: 3:00 PM-5:00 PM;Wed: 8:00 AM-11:00 AM;Sat: 8:00 AM-11:00 AM;,1020074
239,1,06/13/2021 to 06/13/2021,Sun: 12:00 PM-4:00 PM;,1012093
240,1,05/14/2022 to 05/14/2022,Sat: 8:30 AM-12:30 PM;,1021740
241,1,06/03/2021 to 06/03/2021,Thu: 10:00 AM-1:00 PM;,1008276
242,1,05/10/2018 to 10/18/2018,Thu: 3:30 PM-7:00 PM;,1019159
243,2,11/17/2018 to 11/17/2018,Sat: 9:00 AM-3:00 PM;,1019159
244,1,05/14/2022 to 05/14/2022,Sat: 8:00 AM-12:00 PM;,1021242
245,1,05/05/2018 to 10/13/2018,Sat: 9:00 AM-2:00 PM;,1012484
246,1,01/01/2021 to 12/31/2021,Sat: 9:00 AM-1:00 PM;,1019842
247,1,05/01/2021 to 05/01/2021,Sat: 9:00 AM-12:00 PM;,1021362
248,1,03/06/2020 to 11/06/2020,Fri: 6:00 PM-9:00 PM;,1018734
249,1,01/01/2020 to 12/31/2020,Thu: 10:00 AM-3:00 PM;,1021226
250,1,07/07/2020 to 10/27/2020,Wed: 3:00 PM-6:30 PM;,1019907
251,1,07/23/2019 to 10/08/2019,Tue: 3:00 PM-7:00 PM;,1019618
252,1,06/06/2020 to 09/19/2020,Sat: 8:00 AM-12:30 PM;,1020142
253,1,10/03/2020,Sat: 8:00 AM-12:30 PM;,1020141
254,1,01/01/2020 to 12/31/2020,Sun: 9:00 AM-2:00 PM;,1020058
255,1,01/01/2020 to 12/31/2020,Sat: 10:00 AM-3:00 PM;,1020057
256,1,01/01/2020 to 12/31/2020,Tue: 5:00 PM-9:00 PM;,1020056
257,1,05/26/2021 to 05/26/2021,Wed: 3:00 PM-6:00 PM;,1021267
258,1,05/22/2021 to 05/22/2021,Sat: 10:00 AM-2:00 PM;,1021564
259,1,05/02/2020 to 10/31/2020,Sat: 9:00 AM-12:00 PM;,1018886
260,1,01/13/2018 to 11/24/2018,Sat: 8:00 AM-12:00 PM;,1017995
261,1,06/24/2022 to 06/24/2022,Fri: 9:00 AM-12:30 PM;,1021741
262,1,01/01/2020 to 12/31/2020,Tue: 8:00 AM-5:00 PM;Wed: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;Fri: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,1011689
263,1,05/19/2015 to 10/20/2015,Tue: 3:00 PM-6:00 PM;,1005834
264,1,06/01/2020 to 09/30/2020,Thu: 4:00 PM-7:00 PM;,1019881
265,1,05/21/2021 to 05/21/2021,Fri: 3:00 PM-6:00 PM;,1004754
266,1,05/06/2020 to 08/26/2020,Wed: 11:00 AM-2:00 PM;,1008606
267,1,01/01/2021 to 01/01/2021,Sat: 9:00 AM-1:00 PM;,1021310
268,1,01/01/2020 to 12/31/2020,Sat: 7:30 AM-1:00 PM;,1020128
269,1,01/01/2020 to 12/31/2020,Wed: 7:30 AM-1:00 PM;,1020129
270,1,06/02/2020 to 09/29/2020,Tue: 7:30 AM-12:00 PM;,1020127
271,1,04/17/2019 to 10/31/2019,Thu: 3:00 PM-6:00 PM;,1001763
272,1,05/04/2018 to 09/28/2018,Fri: 4:00 PM-6:00 PM;,1019104
273,1,06/10/2021 to 06/10/2021,Thu: 12:00 PM-6:00 PM;,1008409
274,1,06/09/2020 to 09/29/2020,Tue: 3:00 PM-7:00 PM;,1021237
275,1,05/05/2018 to 10/27/2018,Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;,1004360
276,1,01/01/2022 to 01/01/2022,Thu: 9:00 AM-1:00 PM;,1021653
277,1,01/01/2021 to 01/01/2021,Sat: 9:00 AM-1:00 PM;,1019141
278,2,04/13/2021 to 04/13/2021,Tue: 4:00 PM-7:00 PM;,1019141
279,1,01/01/2019 to 12/31/2019,Mon: 11:30 AM-12:30 PM;,1005250
280,1,01/01/2020 to 12/31/2020,Sat: 9:00 AM-1:00 PM;,1021199
281,1,10/05/2019 to 10/26/2019,Sat: 8:00 AM-12:00 PM;,1019717
282,2,05/16/2020 to 08/29/2020,Sat: 8:00 AM-11:00 AM;,1019717
283,1,06/07/2020 to 09/27/2020,Sun: 9:00 AM-1:00 PM;,1004255
284,1,06/09/2018 to 10/20/2018,Sat: 9:00 AM-1:00 PM;,1017956
285,2,11/03/2018 to 05/03/2019,Sat: 9:00 AM-1:00 PM;,1017956
286,1,06/22/2017 to 09/14/2017,Wed: 3:00 PM-7:00 PM;,1017930
287,1,06/23/2021 to 06/23/2021,Wed: 2:30 PM-6:30 PM;,1000303
288,1,07/01/2021 to 07/01/2021,Thu: 4:00 PM-7:00 PM;,1021433
289,1,05/23/2021 to 05/23/2021,Thu: 5:00 PM-9:00 PM;Sun: 8:00 AM-2:00 PM;,1021420
290,1,06/25/2021 to 06/25/2021,Fri: 8:00 AM-12:00 PM;,1006460
